1774655523.525098 server started (50238): version 3.6a, socket /private/tmp/tmux-501/default, protocol 8
1774655523.525152 on Darwin 24.6.0 Darwin Kernel Version 24.6.0: Mon Jan 19 22:00:10 PST 2026; root:xnu-11417.140.69.708.3~1/RELEASE_X86_64
1774655523.525172 using libevent 2.1.12-stable select
1774655523.525190 using utf8proc 2.11.3
1774655523.525203 using ncurses 6.5 20240427
1774655523.538256 cmdq_append <global>: [bind-key/0x7fea95a154f0]
1774655523.538263 yylex_token: end at WS
1774655523.538268 yylex_token: bind
1774655523.538274 yylex_token: end at WS
1774655523.538279 yylex_token: -N
1774655523.538285 yylex_token: end at WS
1774655523.538291 yylex_token: Toggle the marked pane
1774655523.538296 yylex_token: end at WS
1774655523.538302 yylex_token: m
1774655523.538309 yylex_token: end at WS
1774655523.538314 yylex_token: select-pane
1774655523.538320 yylex_token: end at WS
1774655523.538325 yylex_token: -m
1774655523.538331 cmd_parse_build_commands 0:0: bind
1774655523.538337 cmd_parse_build_commands 0:1: -N
1774655523.538342 cmd_parse_build_commands 0:2: Toggle the marked pane
1774655523.538347 cmd_parse_build_commands 0:3: m
1774655523.538353 cmd_parse_build_commands 0:4 0:0: select-pane
1774655523.538358 cmd_parse_build_commands 0:4 0:1: -m
1774655523.538365 cmd_parse_build_commands 0:0: select-pane
1774655523.538371 cmd_parse_build_commands 0:1: -m
1774655523.538380 args_parse_flags: next -m
1774655523.538385 args_parse_flags: -m
1774655523.538391 args_parse: flags end at 2 of 2
1774655523.538399 cmd_parse_build_commands: select-pane -m
1774655523.538405 args_parse_flags: next -N
1774655523.538411 args_parse_flag_argument: -N = Toggle the marked pane
1774655523.538416 args_parse_flags: next m
1774655523.538421 args_parse: flags end at 3 of 5
1774655523.538426 args_parse: 3 = m (type STRING)
1774655523.538433 args_parse: 4 = select-pane -m (type COMMANDS)
1774655523.538446 cmd_parse_build_commands: bind-key -N "Toggle the marked pane" m { select-pane -m }
1774655523.538455 cmdq_get_command: [bind-key/0x7fea95a159a0] group 366
1774655523.538461 cmdq_append <global>: [bind-key/0x7fea95a159a0]
1774655523.538467 yylex_token: end at WS
1774655523.538472 yylex_token: bind
1774655523.538477 yylex_token: end at WS
1774655523.538483 yylex_token: -N
1774655523.538490 yylex_token: end at WS
1774655523.538495 yylex_token: Select the next window
1774655523.538500 yylex_token: end at WS
1774655523.538506 yylex_token: n
1774655523.538537 yylex_token: end at WS
1774655523.538543 yylex_token: next-window
1774655523.538550 cmd_parse_build_commands 0:0: bind
1774655523.538555 cmd_parse_build_commands 0:1: -N
1774655523.538561 cmd_parse_build_commands 0:2: Select the next window
1774655523.538566 cmd_parse_build_commands 0:3: n
1774655523.538572 cmd_parse_build_commands 0:4 0:0: next-window
1774655523.538580 cmd_parse_build_commands 0:0: next-window
1774655523.538587 args_parse: flags end at 1 of 1
1774655523.538594 cmd_parse_build_commands: next-window
1774655523.538600 args_parse_flags: next -N
1774655523.538605 args_parse_flag_argument: -N = Select the next window
1774655523.538611 args_parse_flags: next n
1774655523.538616 args_parse: flags end at 3 of 5
1774655523.538621 args_parse: 3 = n (type STRING)
1774655523.538627 args_parse: 4 = next-window (type COMMANDS)
1774655523.538640 cmd_parse_build_commands: bind-key -N "Select the next window" n { next-window }
1774655523.538652 cmdq_get_command: [bind-key/0x7fea95a15d70] group 374
1774655523.538658 cmdq_append <global>: [bind-key/0x7fea95a15d70]
1774655523.538663 yylex_token: end at WS
1774655523.538669 yylex_token: bind
1774655523.538674 yylex_token: end at WS
1774655523.538679 yylex_token: -N
1774655523.538686 yylex_token: end at WS
1774655523.538691 yylex_token: Select the next pane
1774655523.538697 yylex_token: end at WS
1774655523.538702 yylex_token: o
1774655523.538708 yylex_token: end at WS
1774655523.538713 yylex_token: select-pane
1774655523.538718 yylex_token: end at WS
1774655523.538724 yylex_token: -t:.+
1774655523.538731 cmd_parse_build_commands 0:0: bind
1774655523.538736 cmd_parse_build_commands 0:1: -N
1774655523.538741 cmd_parse_build_commands 0:2: Select the next pane
1774655523.538747 cmd_parse_build_commands 0:3: o
1774655523.538752 cmd_parse_build_commands 0:4 0:0: select-pane
1774655523.538758 cmd_parse_build_commands 0:4 0:1: -t:.+
1774655523.538765 cmd_parse_build_commands 0:0: select-pane
1774655523.538770 cmd_parse_build_commands 0:1: -t:.+
1774655523.538777 args_parse_flags: next -t:.+
1774655523.538783 args_parse_flag_argument: -t = :.+
1774655523.538788 args_parse: flags end at 2 of 2
1774655523.538797 cmd_parse_build_commands: select-pane -t :.+
1774655523.538802 args_parse_flags: next -N
1774655523.538808 args_parse_flag_argument: -N = Select the next pane
1774655523.538813 args_parse_flags: next o
1774655523.538818 args_parse: flags end at 3 of 5
1774655523.538824 args_parse: 3 = o (type STRING)
1774655523.538832 args_parse: 4 = select-pane -t :.+ (type COMMANDS)
1774655523.538846 cmd_parse_build_commands: bind-key -N "Select the next pane" o { select-pane -t :.+ }
1774655523.538854 cmdq_get_command: [bind-key/0x7fea95a16060] group 382
1774655523.538859 cmdq_append <global>: [bind-key/0x7fea95a16060]
1774655523.538865 yylex_token: end at WS
1774655523.538870 yylex_token: bind
1774655523.538876 yylex_token: end at WS
1774655523.538881 yylex_token: -N
1774655523.538887 yylex_token: end at WS
1774655523.538892 yylex_token: Customize options
1774655523.538898 yylex_token: end at WS
1774655523.538903 yylex_token: C
1774655523.538909 yylex_token: end at WS
1774655523.538914 yylex_token: customize-mode
1774655523.538920 yylex_token: end at WS
1774655523.538925 yylex_token: -Z
1774655523.538931 cmd_parse_build_commands 0:0: bind
1774655523.538937 cmd_parse_build_commands 0:1: -N
1774655523.538942 cmd_parse_build_commands 0:2: Customize options
1774655523.538948 cmd_parse_build_commands 0:3: C
1774655523.538953 cmd_parse_build_commands 0:4 0:0: customize-mode
1774655523.538958 cmd_parse_build_commands 0:4 0:1: -Z
1774655523.538966 cmd_parse_build_commands 0:0: customize-mode
1774655523.538971 cmd_parse_build_commands 0:1: -Z
1774655523.538978 args_parse_flags: next -Z
1774655523.538983 args_parse_flags: -Z
1774655523.538988 args_parse: flags end at 2 of 2
1774655523.538996 cmd_parse_build_commands: customize-mode -Z
1774655523.539001 args_parse_flags: next -N
1774655523.539007 args_parse_flag_argument: -N = Customize options
1774655523.539012 args_parse_flags: next C
1774655523.539027 args_parse: flags end at 3 of 5
1774655523.539033 args_parse: 3 = C (type STRING)
1774655523.539040 args_parse: 4 = customize-mode -Z (type COMMANDS)
1774655523.539053 cmd_parse_build_commands: bind-key -N "Customize options" C { customize-mode -Z }
1774655523.539062 cmdq_get_command: [bind-key/0x7fea95a166e0] group 390
1774655523.539067 cmdq_append <global>: [bind-key/0x7fea95a166e0]
1774655523.539073 yylex_token: end at WS
1774655523.539079 yylex_token: bind
1774655523.539084 yylex_token: end at WS
1774655523.539089 yylex_token: -N
1774655523.539097 yylex_token: end at WS
1774655523.539103 yylex_token: Select the previous window
1774655523.539108 yylex_token: end at WS
1774655523.539113 yylex_token: p
1774655523.539119 yylex_token: end at WS
1774655523.539124 yylex_token: previous-window
1774655523.539131 cmd_parse_build_commands 0:0: bind
1774655523.539136 cmd_parse_build_commands 0:1: -N
1774655523.539141 cmd_parse_build_commands 0:2: Select the previous window
1774655523.539147 cmd_parse_build_commands 0:3: p
1774655523.539152 cmd_parse_build_commands 0:4 0:0: previous-window
1774655523.539160 cmd_parse_build_commands 0:0: previous-window
1774655523.539167 args_parse: flags end at 1 of 1
1774655523.539174 cmd_parse_build_commands: previous-window
1774655523.539179 args_parse_flags: next -N
1774655523.539185 args_parse_flag_argument: -N = Select the previous window
1774655523.539190 args_parse_flags: next p
1774655523.539196 args_parse: flags end at 3 of 5
1774655523.539201 args_parse: 3 = p (type STRING)
1774655523.539208 args_parse: 4 = previous-window (type COMMANDS)
1774655523.539220 cmd_parse_build_commands: bind-key -N "Select the previous window" p { previous-window }
1774655523.539228 cmdq_get_command: [bind-key/0x7fea95a16900] group 398
1774655523.539234 cmdq_append <global>: [bind-key/0x7fea95a16900]
1774655523.539240 yylex_token: end at WS
1774655523.539245 yylex_token: bind
1774655523.539251 yylex_token: end at WS
1774655523.539256 yylex_token: -N
1774655523.539262 yylex_token: end at WS
1774655523.539268 yylex_token: Display pane numbers
1774655523.539273 yylex_token: end at WS
1774655523.539278 yylex_token: q
1774655523.539284 yylex_token: end at WS
1774655523.539290 yylex_token: display-panes
1774655523.539296 cmd_parse_build_commands 0:0: bind
1774655523.539302 cmd_parse_build_commands 0:1: -N
1774655523.539307 cmd_parse_build_commands 0:2: Display pane numbers
1774655523.539313 cmd_parse_build_commands 0:3: q
1774655523.539319 cmd_parse_build_commands 0:4 0:0: display-panes
1774655523.539327 cmd_parse_build_commands 0:0: display-panes
1774655523.539334 args_parse: flags end at 1 of 1
1774655523.539341 cmd_parse_build_commands: display-panes
1774655523.539347 args_parse_flags: next -N
1774655523.539352 args_parse_flag_argument: -N = Display pane numbers
1774655523.539357 args_parse_flags: next q
1774655523.539363 args_parse: flags end at 3 of 5
1774655523.539368 args_parse: 3 = q (type STRING)
1774655523.539375 args_parse: 4 = display-panes (type COMMANDS)
1774655523.539387 cmd_parse_build_commands: bind-key -N "Display pane numbers" q { display-panes }
1774655523.539398 cmdq_get_command: [bind-key/0x7fea95a16e50] group 406
1774655523.539405 cmdq_append <global>: [bind-key/0x7fea95a16e50]
1774655523.539411 yylex_token: end at WS
1774655523.539416 yylex_token: bind
1774655523.539422 yylex_token: end at WS
1774655523.539427 yylex_token: -N
1774655523.539434 yylex_token: end at WS
1774655523.539439 yylex_token: Redraw the current client
1774655523.539445 yylex_token: end at WS
1774655523.539450 yylex_token: r
1774655523.539456 yylex_token: end at WS
1774655523.539462 yylex_token: refresh-client
1774655523.539468 cmd_parse_build_commands 0:0: bind
1774655523.539473 cmd_parse_build_commands 0:1: -N
1774655523.539479 cmd_parse_build_commands 0:2: Redraw the current client
1774655523.539484 cmd_parse_build_commands 0:3: r
1774655523.539490 cmd_parse_build_commands 0:4 0:0: refresh-client
1774655523.539497 cmd_parse_build_commands 0:0: refresh-client
1774655523.539505 args_parse: flags end at 1 of 1
1774655523.539534 cmd_parse_build_commands: refresh-client
1774655523.539542 args_parse_flags: next -N
1774655523.539550 args_parse_flag_argument: -N = Redraw the current client
1774655523.539557 args_parse_flags: next r
1774655523.539563 args_parse: flags end at 3 of 5
1774655523.539568 args_parse: 3 = r (type STRING)
1774655523.539575 args_parse: 4 = refresh-client (type COMMANDS)
1774655523.539588 cmd_parse_build_commands: bind-key -N "Redraw the current client" r { refresh-client }
1774655523.539597 cmdq_get_command: [bind-key/0x7fea95a17010] group 414
1774655523.539603 cmdq_append <global>: [bind-key/0x7fea95a17010]
1774655523.539608 yylex_token: end at WS
1774655523.539614 yylex_token: bind
1774655523.539623 yylex_token: end at WS
1774655523.539629 yylex_token: -N
1774655523.539638 yylex_token: end at WS
1774655523.539643 yylex_token: Choose a session from a list
1774655523.539649 yylex_token: end at WS
1774655523.539654 yylex_token: s
1774655523.539660 yylex_token: end at WS
1774655523.539666 yylex_token: choose-tree
1774655523.539671 yylex_token: end at WS
1774655523.539676 yylex_token: -Zs
1774655523.539683 cmd_parse_build_commands 0:0: bind
1774655523.539689 cmd_parse_build_commands 0:1: -N
1774655523.539695 cmd_parse_build_commands 0:2: Choose a session from a list
1774655523.539700 cmd_parse_build_commands 0:3: s
1774655523.539706 cmd_parse_build_commands 0:4 0:0: choose-tree
1774655523.539711 cmd_parse_build_commands 0:4 0:1: -Zs
1774655523.539720 cmd_parse_build_commands 0:0: choose-tree
1774655523.539726 cmd_parse_build_commands 0:1: -Zs
1774655523.539733 args_parse_flags: next -Zs
1774655523.539738 args_parse_flags: -Z
1774655523.539744 args_parse_flags: -s
1774655523.539749 args_parse: flags end at 2 of 2
1774655523.539758 cmd_parse_build_commands: choose-tree -Zs
1774655523.539766 args_parse_flags: next -N
1774655523.539772 args_parse_flag_argument: -N = Choose a session from a list
1774655523.539795 args_parse_flags: next s
1774655523.539816 args_parse: flags end at 3 of 5
1774655523.539824 args_parse: 3 = s (type STRING)
1774655523.539833 args_parse: 4 = choose-tree -Zs (type COMMANDS)
1774655523.539851 cmd_parse_build_commands: bind-key -N "Choose a session from a list" s { choose-tree -Zs }
1774655523.539861 cmdq_get_command: [bind-key/0x7fea94f0cba0] group 422
1774655523.539867 cmdq_append <global>: [bind-key/0x7fea94f0cba0]
1774655523.539874 yylex_token: end at WS
1774655523.539879 yylex_token: bind
1774655523.539885 yylex_token: end at WS
1774655523.539891 yylex_token: -N
1774655523.539897 yylex_token: end at WS
1774655523.539902 yylex_token: Show a clock
1774655523.539908 yylex_token: end at WS
1774655523.539913 yylex_token: t
1774655523.539919 yylex_token: end at WS
1774655523.539924 yylex_token: clock-mode
1774655523.539941 cmd_parse_build_commands 0:0: bind
1774655523.539947 cmd_parse_build_commands 0:1: -N
1774655523.539953 cmd_parse_build_commands 0:2: Show a clock
1774655523.539961 cmd_parse_build_commands 0:3: t
1774655523.539968 cmd_parse_build_commands 0:4 0:0: clock-mode
1774655523.539977 cmd_parse_build_commands 0:0: clock-mode
1774655523.539984 args_parse: flags end at 1 of 1
1774655523.539992 cmd_parse_build_commands: clock-mode
1774655523.539997 args_parse_flags: next -N
1774655523.540003 args_parse_flag_argument: -N = Show a clock
1774655523.540009 args_parse_flags: next t
1774655523.540014 args_parse: flags end at 3 of 5
1774655523.540020 args_parse: 3 = t (type STRING)
1774655523.540026 args_parse: 4 = clock-mode (type COMMANDS)
1774655523.540040 cmd_parse_build_commands: bind-key -N "Show a clock" t { clock-mode }
1774655523.540049 cmdq_get_command: [bind-key/0x7fea94f0cff0] group 430
1774655523.540055 cmdq_append <global>: [bind-key/0x7fea94f0cff0]
1774655523.540061 yylex_token: end at WS
1774655523.540067 yylex_token: bind
1774655523.540072 yylex_token: end at WS
1774655523.540078 yylex_token: -N
1774655523.540085 yylex_token: end at WS
1774655523.540090 yylex_token: Choose a window from a list
1774655523.540096 yylex_token: end at WS
1774655523.540101 yylex_token: w
1774655523.540123 yylex_token: end at WS
1774655523.540129 yylex_token: choose-tree
1774655523.540134 yylex_token: end at WS
1774655523.540139 yylex_token: -Zw
1774655523.540146 cmd_parse_build_commands 0:0: bind
1774655523.540152 cmd_parse_build_commands 0:1: -N
1774655523.540157 cmd_parse_build_commands 0:2: Choose a window from a list
1774655523.540162 cmd_parse_build_commands 0:3: w
1774655523.540168 cmd_parse_build_commands 0:4 0:0: choose-tree
1774655523.540173 cmd_parse_build_commands 0:4 0:1: -Zw
1774655523.540181 cmd_parse_build_commands 0:0: choose-tree
1774655523.540186 cmd_parse_build_commands 0:1: -Zw
1774655523.540193 args_parse_flags: next -Zw
1774655523.540198 args_parse_flags: -Z
1774655523.540203 args_parse_flags: -w
1774655523.540209 args_parse: flags end at 2 of 2
1774655523.540217 cmd_parse_build_commands: choose-tree -Zw
1774655523.540222 args_parse_flags: next -N
1774655523.540228 args_parse_flag_argument: -N = Choose a window from a list
1774655523.540233 args_parse_flags: next w
1774655523.540238 args_parse: flags end at 3 of 5
1774655523.540244 args_parse: 3 = w (type STRING)
1774655523.540251 args_parse: 4 = choose-tree -Zw (type COMMANDS)
1774655523.540265 cmd_parse_build_commands: bind-key -N "Choose a window from a list" w { choose-tree -Zw }
1774655523.540273 cmdq_get_command: [bind-key/0x7fea94f0d320] group 438
1774655523.540279 cmdq_append <global>: [bind-key/0x7fea94f0d320]
1774655523.540290 yylex_token: end at WS
1774655523.540295 yylex_token: bind
1774655523.540301 yylex_token: end at WS
1774655523.540306 yylex_token: -N
1774655523.540313 yylex_token: end at WS
1774655523.540318 yylex_token: Kill the active pane
1774655523.540323 yylex_token: end at WS
1774655523.540328 yylex_token: x
1774655523.540334 yylex_token: end at WS
1774655523.540340 yylex_token: confirm-before
1774655523.540346 yylex_token: end at WS
1774655523.540351 yylex_token: -pkill-pane #P? (y/n)
1774655523.540357 yylex_token: end at WS
1774655523.540363 yylex_token: kill-pane
1774655523.540369 cmd_parse_build_commands 0:0: bind
1774655523.540375 cmd_parse_build_commands 0:1: -N
1774655523.540380 cmd_parse_build_commands 0:2: Kill the active pane
1774655523.540385 cmd_parse_build_commands 0:3: x
1774655523.540391 cmd_parse_build_commands 0:4 0:0: confirm-before
1774655523.540396 cmd_parse_build_commands 0:4 0:1: -pkill-pane #P? (y/n)
1774655523.540402 cmd_parse_build_commands 0:4 0:2: kill-pane
1774655523.540409 cmd_parse_build_commands 0:0: confirm-before
1774655523.540414 cmd_parse_build_commands 0:1: -pkill-pane #P? (y/n)
1774655523.540420 cmd_parse_build_commands 0:2: kill-pane
1774655523.540427 args_parse_flags: next -pkill-pane #P? (y/n)
1774655523.540433 args_parse_flag_argument: -p = kill-pane #P? (y/n)
1774655523.540438 args_parse_flags: next kill-pane
1774655523.540443 args_parse: flags end at 2 of 3
1774655523.540449 args_parse: 2 = kill-pane (type STRING)
1774655523.540460 cmd_parse_build_commands: confirm-before -p "kill-pane #P? (y/n)" kill-pane
1774655523.540466 args_parse_flags: next -N
1774655523.540472 args_parse_flag_argument: -N = Kill the active pane
1774655523.540477 args_parse_flags: next x
1774655523.540482 args_parse: flags end at 3 of 5
1774655523.540487 args_parse: 3 = x (type STRING)
1774655523.540498 args_parse: 4 = confirm-before -p "kill-pane #P? (y/n)" kill-pane (type COMMANDS)
1774655523.540514 cmd_parse_build_commands: bind-key -N "Kill the active pane" x { confirm-before -p "kill-pane #P? (y/n)" kill-pane }
1774655523.540523 cmdq_get_command: [bind-key/0x7fea94f0d660] group 446
1774655523.540528 cmdq_append <global>: [bind-key/0x7fea94f0d660]
1774655523.540534 yylex_token: end at WS
1774655523.540539 yylex_token: bind
1774655523.540545 yylex_token: end at WS
1774655523.540550 yylex_token: -N
1774655523.540556 yylex_token: end at WS
1774655523.540561 yylex_token: Zoom the active pane
1774655523.540567 yylex_token: end at WS
1774655523.540572 yylex_token: z
1774655523.540578 yylex_token: end at WS
1774655523.540583 yylex_token: resize-pane
1774655523.540588 yylex_token: end at WS
1774655523.540618 yylex_token: -Z
1774655523.540625 cmd_parse_build_commands 0:0: bind
1774655523.540631 cmd_parse_build_commands 0:1: -N
1774655523.540636 cmd_parse_build_commands 0:2: Zoom the active pane
1774655523.540641 cmd_parse_build_commands 0:3: z
1774655523.540647 cmd_parse_build_commands 0:4 0:0: resize-pane
1774655523.540652 cmd_parse_build_commands 0:4 0:1: -Z
1774655523.540660 cmd_parse_build_commands 0:0: resize-pane
1774655523.540665 cmd_parse_build_commands 0:1: -Z
1774655523.540673 args_parse_flags: next -Z
1774655523.540678 args_parse_flags: -Z
1774655523.540684 args_parse: flags end at 2 of 2
1774655523.540691 cmd_parse_build_commands: resize-pane -Z
1774655523.540697 args_parse_flags: next -N
1774655523.540702 args_parse_flag_argument: -N = Zoom the active pane
1774655523.540707 args_parse_flags: next z
1774655523.540712 args_parse: flags end at 3 of 5
1774655523.540718 args_parse: 3 = z (type STRING)
1774655523.540724 args_parse: 4 = resize-pane -Z (type COMMANDS)
1774655523.540740 cmd_parse_build_commands: bind-key -N "Zoom the active pane" z { resize-pane -Z }
1774655523.540749 cmdq_get_command: [bind-key/0x7fea94f0de20] group 454
1774655523.540755 cmdq_append <global>: [bind-key/0x7fea94f0de20]
1774655523.540760 yylex_token: end at WS
1774655523.540766 yylex_token: bind
1774655523.540771 yylex_token: end at WS
1774655523.540776 yylex_token: -N
1774655523.540784 yylex_token: end at WS
1774655523.540789 yylex_token: Swap the active pane with the pane above
1774655523.540795 yylex_token: end at WS
1774655523.540800 yylex_token: {
1774655523.540806 yylex_token: end at WS
1774655523.540811 yylex_token: swap-pane
1774655523.540816 yylex_token: end at WS
1774655523.540821 yylex_token: -U
1774655523.540828 cmd_parse_build_commands 0:0: bind
1774655523.540833 cmd_parse_build_commands 0:1: -N
1774655523.540838 cmd_parse_build_commands 0:2: Swap the active pane with the pane above
1774655523.540844 cmd_parse_build_commands 0:3: {
1774655523.540849 cmd_parse_build_commands 0:4 0:0: swap-pane
1774655523.540854 cmd_parse_build_commands 0:4 0:1: -U
1774655523.540862 cmd_parse_build_commands 0:0: swap-pane
1774655523.540867 cmd_parse_build_commands 0:1: -U
1774655523.540875 args_parse_flags: next -U
1774655523.540880 args_parse_flags: -U
1774655523.540886 args_parse: flags end at 2 of 2
1774655523.540893 cmd_parse_build_commands: swap-pane -U
1774655523.540899 args_parse_flags: next -N
1774655523.540904 args_parse_flag_argument: -N = Swap the active pane with the pane above
1774655523.540910 args_parse_flags: next {
1774655523.540915 args_parse: flags end at 3 of 5
1774655523.540920 args_parse: 3 = { (type STRING)
1774655523.540927 args_parse: 4 = swap-pane -U (type COMMANDS)
1774655523.540941 cmd_parse_build_commands: bind-key -N "Swap the active pane with the pane above" \\{ { swap-pane -U }
1774655523.540949 cmdq_get_command: [bind-key/0x7fea94f0e2a0] group 462
1774655523.540954 cmdq_append <global>: [bind-key/0x7fea94f0e2a0]
1774655523.540960 yylex_token: end at WS
1774655523.540965 yylex_token: bind
1774655523.540971 yylex_token: end at WS
1774655523.540976 yylex_token: -N
1774655523.540984 yylex_token: end at WS
1774655523.540989 yylex_token: Swap the active pane with the pane below
1774655523.540994 yylex_token: end at WS
1774655523.540999 yylex_token: }
1774655523.541005 yylex_token: end at WS
1774655523.541010 yylex_token: swap-pane
1774655523.541016 yylex_token: end at WS
1774655523.541021 yylex_token: -D
1774655523.541027 cmd_parse_build_commands 0:0: bind
1774655523.541033 cmd_parse_build_commands 0:1: -N
1774655523.541038 cmd_parse_build_commands 0:2: Swap the active pane with the pane below
1774655523.541043 cmd_parse_build_commands 0:3: }
1774655523.541049 cmd_parse_build_commands 0:4 0:0: swap-pane
1774655523.541054 cmd_parse_build_commands 0:4 0:1: -D
1774655523.541061 cmd_parse_build_commands 0:0: swap-pane
1774655523.541066 cmd_parse_build_commands 0:1: -D
1774655523.541074 args_parse_flags: next -D
1774655523.541079 args_parse_flags: -D
1774655523.541085 args_parse: flags end at 2 of 2
1774655523.541102 cmd_parse_build_commands: swap-pane -D
1774655523.541108 args_parse_flags: next -N
1774655523.541114 args_parse_flag_argument: -N = Swap the active pane with the pane below
1774655523.541119 args_parse_flags: next }
1774655523.541124 args_parse: flags end at 3 of 5
1774655523.541129 args_parse: 3 = } (type STRING)
1774655523.541136 args_parse: 4 = swap-pane -D (type COMMANDS)
1774655523.541149 cmd_parse_build_commands: bind-key -N "Swap the active pane with the pane below" \\} { swap-pane -D }
1774655523.541158 cmdq_get_command: [bind-key/0x7fea94f0e910] group 470
1774655523.541163 cmdq_append <global>: [bind-key/0x7fea94f0e910]
1774655523.541169 yylex_token: end at WS
1774655523.541174 yylex_token: bind
1774655523.541180 yylex_token: end at WS
1774655523.541185 yylex_token: -N
1774655523.541191 yylex_token: end at WS
1774655523.541196 yylex_token: Show messages
1774655523.541201 yylex_token: end at WS
1774655523.541206 yylex_token: ~
1774655523.541213 yylex_token: end at WS
1774655523.541218 yylex_token: show-messages
1774655523.541225 cmd_parse_build_commands 0:0: bind
1774655523.541230 cmd_parse_build_commands 0:1: -N
1774655523.541236 cmd_parse_build_commands 0:2: Show messages
1774655523.541241 cmd_parse_build_commands 0:3: ~
1774655523.541246 cmd_parse_build_commands 0:4 0:0: show-messages
1774655523.541254 cmd_parse_build_commands 0:0: show-messages
1774655523.541261 args_parse: flags end at 1 of 1
1774655523.541268 cmd_parse_build_commands: show-messages
1774655523.541274 args_parse_flags: next -N
1774655523.541279 args_parse_flag_argument: -N = Show messages
1774655523.541285 args_parse_flags: next ~
1774655523.541290 args_parse: flags end at 3 of 5
1774655523.541295 args_parse: 3 = ~ (type STRING)
1774655523.541301 args_parse: 4 = show-messages (type COMMANDS)
1774655523.541314 cmd_parse_build_commands: bind-key -N "Show messages" \\~ { show-messages }
1774655523.541322 cmdq_get_command: [bind-key/0x7fea94f0ea40] group 478
1774655523.541328 cmdq_append <global>: [bind-key/0x7fea94f0ea40]
1774655523.541333 yylex_token: end at WS
1774655523.541339 yylex_token: bind
1774655523.541344 yylex_token: end at WS
1774655523.541349 yylex_token: -N
1774655523.541356 yylex_token: end at WS
1774655523.541361 yylex_token: Enter copy mode and scroll up
1774655523.541367 yylex_token: end at WS
1774655523.541372 yylex_token: PPage
1774655523.541378 yylex_token: end at WS
1774655523.541383 yylex_token: copy-mode
1774655523.541388 yylex_token: end at WS
1774655523.541393 yylex_token: -u
1774655523.541400 cmd_parse_build_commands 0:0: bind
1774655523.541405 cmd_parse_build_commands 0:1: -N
1774655523.541411 cmd_parse_build_commands 0:2: Enter copy mode and scroll up
1774655523.541416 cmd_parse_build_commands 0:3: PPage
1774655523.541422 cmd_parse_build_commands 0:4 0:0: copy-mode
1774655523.541428 cmd_parse_build_commands 0:4 0:1: -u
1774655523.541435 cmd_parse_build_commands 0:0: copy-mode
1774655523.541440 cmd_parse_build_commands 0:1: -u
1774655523.541447 args_parse_flags: next -u
1774655523.541452 args_parse_flags: -u
1774655523.541457 args_parse: flags end at 2 of 2
1774655523.541465 cmd_parse_build_commands: copy-mode -u
1774655523.541470 args_parse_flags: next -N
1774655523.541476 args_parse_flag_argument: -N = Enter copy mode and scroll up
1774655523.541481 args_parse_flags: next PPage
1774655523.541486 args_parse: flags end at 3 of 5
1774655523.541491 args_parse: 3 = PPage (type STRING)
1774655523.541498 args_parse: 4 = copy-mode -u (type COMMANDS)
1774655523.541514 cmd_parse_build_commands: bind-key -N "Enter copy mode and scroll up" PPage { copy-mode -u }
1774655523.541523 cmdq_get_command: [bind-key/0x7fea94f0ef20] group 486
1774655523.541528 cmdq_append <global>: [bind-key/0x7fea94f0ef20]
1774655523.541534 yylex_token: end at WS
1774655523.541540 yylex_token: bind
1774655523.541545 yylex_token: end at WS
1774655523.541550 yylex_token: -N
1774655523.541558 yylex_token: end at WS
1774655523.541563 yylex_token: Select the pane above the active pane
1774655523.541569 yylex_token: end at WS
1774655523.541574 yylex_token: -r
1774655523.541589 yylex_token: end at WS
1774655523.541594 yylex_token: Up
1774655523.541600 yylex_token: end at WS
1774655523.541605 yylex_token: select-pane
1774655523.541611 yylex_token: end at WS
1774655523.541616 yylex_token: -U
1774655523.541622 cmd_parse_build_commands 0:0: bind
1774655523.541627 cmd_parse_build_commands 0:1: -N
1774655523.541633 cmd_parse_build_commands 0:2: Select the pane above the active pane
1774655523.541638 cmd_parse_build_commands 0:3: -r
1774655523.541643 cmd_parse_build_commands 0:4: Up
1774655523.541648 cmd_parse_build_commands 0:5 0:0: select-pane
1774655523.541654 cmd_parse_build_commands 0:5 0:1: -U
1774655523.541661 cmd_parse_build_commands 0:0: select-pane
1774655523.541666 cmd_parse_build_commands 0:1: -U
1774655523.541674 args_parse_flags: next -U
1774655523.541679 args_parse_flags: -U
1774655523.541684 args_parse: flags end at 2 of 2
1774655523.541692 cmd_parse_build_commands: select-pane -U
1774655523.541697 args_parse_flags: next -N
1774655523.541703 args_parse_flag_argument: -N = Select the pane above the active pane
1774655523.541708 args_parse_flags: next -r
1774655523.541713 args_parse_flags: -r
1774655523.541719 args_parse_flags: next Up
1774655523.541724 args_parse: flags end at 4 of 6
1774655523.541729 args_parse: 4 = Up (type STRING)
1774655523.541736 args_parse: 5 = select-pane -U (type COMMANDS)
1774655523.541750 cmd_parse_build_commands: bind-key -r -N "Select the pane above the active pane" Up { select-pane -U }
1774655523.541758 cmdq_get_command: [bind-key/0x7fea94f0f150] group 494
1774655523.541764 cmdq_append <global>: [bind-key/0x7fea94f0f150]
1774655523.541769 yylex_token: end at WS
1774655523.541775 yylex_token: bind
1774655523.541780 yylex_token: end at WS
1774655523.541785 yylex_token: -N
1774655523.541792 yylex_token: end at WS
1774655523.541798 yylex_token: Select the pane below the active pane
